Item,Qty,Reference(s),VendorPN
1,1,C1,1276-1838-1-ND
2,2,"C2, C3",445-181255-ND
3,1,C4,1276-6641-1-ND
4,1,C5,399-C1206C104K5RAC7800CT-ND
5,1,C6,1276-3077-1-ND
6,1,D1,BAT46CT-ND
7,2,"HS1, HS2",1168-XL25-10-10-2.0-ND
8,1,J1,A97581-ND
9,1,J2,2057-PH1RA-05-UA-ND
10,1,R1,TKH45P50R0FECT-ND
11,1,R2,541-3981-1-ND
12,1,R3,541-4173-1-ND
13,2,"R4, R6",541-3983-1-ND
14,1,R5,311-2.40KFRCT-ND
15,3,"R7, R8, R9",311-75.0FRCT-ND
16,1,U1,ZXTR2005Z-13DICT-ND
17,1,U2,576-2568-1-ND
18,1,U3,PIC18F24Q10-I/SS-ND
19,1,U4,67-1799-ND
